Title,New_Category,category_real
The Martian (The Martian #1),Kindle Store > Kindle eBooks > Science Fiction & Fantasy,"Fiction, Science Fiction, Fantasy, Science"
Left Behind (Left Behind #1),Kindle Store > Kindle eBooks > Religion & Spirituality,"Religion, Spirituality"
John Vassos: Industrial Design for Modern Life,Books > Arts & Photography > Architecture,Art
I'll Give You the Sun,Kindle Store > Kindle eBooks > Teen & Young Adult,Young Adult
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Kindle Store > Kindle eBooks > Biographies & Memoirs,Biographies
Ender's Game (The Ender Quintet #1),Kindle Store > Kindle eBooks > Science Fiction & Fantasy,"Fiction, Science Fiction, Fantasy, Science"
Death by Leisure: A Cautionary Tale,Kindle Store > Kindle eBooks > Biographies & Memoirs,Biographies
Wildlife of New York: A Five-Borough Coloring Book,"Books > Crafts, Hobbies & Home > Crafts & Hobbies",
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,Books > Religion & Spirituality > Christian Books & Bibles,"Religion, Spirituality, Christian"
The Great Gatsby,Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
The Good Girl,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","Mystery, Thriller, Suspense"
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Books > Self-Help > Motivational,Self-Help
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Books > Arts & Photography > Graphic Design,Art
Life of Pi,Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
The Sound Of Love,Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
The Perks of Being a Wallflower,Books > Politics & Social Sciences > Politics & Government,"Science, Politics"
The Makings of a Fatherless Child,Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
The Hobbit (Middle-Earth Universe),Kindle Store > Kindle eBooks > Teen & Young Adult,Young Adult
The Fellowship of the Ring (The Lord of the Rings #1),Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,,
Musicophilia: Tales of Music and the Brain,Kindle Store > Kindle eBooks > Arts & Photography,Art
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Books > Humor & Entertainment > Humor,Humor
The Fault in Our Stars,Kindle Store > Kindle eBooks > Teen & Young Adult,Young Adult
The Dream Thieves (The Raven Cycle #2),Kindle Store > Kindle eBooks > Teen & Young Adult,Young Adult
The 5th Wave (The 5th Wave #1),Kindle Store > Kindle eBooks > Teen & Young Adult,Young Adult
Shiver (The Wolves of Mercy Falls #1),Kindle Store > Kindle eBooks > Teen & Young Adult,Young Adult
Remember Me?,,
If I Stay (If I Stay #1),Kindle Store > Kindle eBooks > Teen & Young Adult,Young Adult
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
Harry Potter and the Deathly Hallows (Harry Potter #7),Kindle Store > Kindle eBooks > Teen & Young Adult,Young Adult
Fool Me Once,"Kindle Store > Kindle eBooks > Mystery, Thriller & Suspense","Mystery, Thriller, Suspense"
Drama,,
"Blue Lily, Lily Blue (The Raven Cycle #3)",Kindle Store > Kindle eBooks > Teen & Young Adult,Young Adult
Alight (The Generations Trilogy #2),Kindle Store > Kindle eBooks > Teen & Young Adult,Young Adult
Vogue Colors A to Z: A Fashion Coloring Book,Books > Arts & Photography > Graphic Design,Art
The Shining (The Shining #1),Books > Literature & Fiction > Genre Fiction,Fiction
The Hunger Games (The Hunger Games #1),Kindle Store > Kindle eBooks > Children's eBooks,Children's
Outlander (Outlander #1),Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
Mockingjay (The Hunger Games #3),Kindle Store > Kindle eBooks > Children's eBooks,Children's
Harry Potter and the Sorcerer's Stone (Harry Potter #1),Kindle Store > Kindle eBooks > Teen & Young Adult,Young Adult
Confessions of a Shopaholic (Shopaholic #1),Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
Zero History (Blue Ant #3),"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","Mystery, Thriller, Suspense"
World War Z: An Oral History of the Zombie War,Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
Wild: From Lost to Found on the Pacific Crest Trail,Kindle Store > Kindle eBooks > Travel,Travel
"Where'd You Go, Bernadette",Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
Twilight (Twilight #1),Kindle Store > Kindle eBooks > Teen & Young Adult,Young Adult
The Paris Wife,Books > Literature & Fiction > Genre Fiction,Fiction
The Maze Runner (The Maze Runner #1),Kindle Store > Kindle eBooks > Children's eBooks,Children's
The Lover's Dictionary,Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
The Goldfinch,Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
The Giver (The Giver Quartet #1),Kindle Store > Kindle eBooks > Teen & Young Adult,Young Adult
The Girl Who Played with Fire (Millennium Trilogy #2),"Kindle Store > Kindle eBooks > Comics, Manga & Graphic Novels",Novels
The Demon-Haunted World: Science as a Candle in the Dark,Kindle Store > Kindle eBooks > Science & Math,Science
The Book Thief,Kindle Store > Kindle eBooks > Teen & Young Adult,Young Adult
The Autobiography of Malcolm X,Books > Politics & Social Sciences > Social Sciences,"Science, Politics"
Shopaholic & Baby (Shopaholic #5),Kindle eBooks > Literature & Fiction > Contemporary Fiction,"Fiction, Contemporary"
Quiet: The Power of Introverts in a World That Can't Stop Talking,Books > Self-Help > Relationships,Self-Help
Packing for Mars: The Curious Science of Life in the Void,Books > Science & Math > Astronomy & Space Science,Science
Orange Is the New Black,Kindle Store > Kindle eBooks > Politics & Social Sciences,"Science, Politics"
One for the Money (Stephanie Plum #1),Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
Morning Star (Red Rising #3),Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
Life After Life,Books > Literature & Fiction > Genre Fiction,Fiction
"Lean In: Women, Work, and the Will to Lead",Books > Biographies & Memoirs > Community & Culture,Biographies
Is Everyone Hanging Out Without Me? (And Other Concerns),"Books > Reference > Writing, Research & Publishing Guides",
Gone Girl,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","Mystery, Thriller, Suspense"
Fellside,Books > Literature & Fiction > Genre Fiction,Fiction
Eclipse (Twilight #3),Kindle Store > Kindle eBooks > Teen & Young Adult,Young Adult
Dracula,Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
Dead Wake: The Last Crossing of the Lusitania,Kindle Store > Kindle eBooks > Engineering & Transportation,
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Books > Business & Money > Business Culture,Business
Dark Places,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","Mystery, Thriller, Suspense"
Breaking Dawn (Twilight #4),Kindle Store > Kindle eBooks > Teen & Young Adult,Young Adult
Beautiful Creatures (Caster Chronicles #1),,
A Visit from the Goon Squad,Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
The Zombie Room,Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
The Name of the Wind (The Kingkiller Chronicle #1),Kindle Store > Kindle eBooks > Science Fiction & Fantasy,"Fiction, Science Fiction, Fantasy, Science"
Taking Shots (Assassins #1),Kindle Store > Kindle eBooks > Romance,Romance
Shatter Me (Shatter Me #1),Kindle Store > Kindle eBooks > Teen & Young Adult,Young Adult
Paradise Lost (Paradise #1),Kindle Store > Kindle eBooks > Reference,
On the Road (Duluoz Legend),Books > Literature & Fiction > History & Criticism,"Fiction, History"
Jane Eyre,Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
Frankenstein,Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
